,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Alpha-keto-gamma-(methylthio)butyrate acid sodium salt,1,1,,,,,,,,1,1,,,,1,,,,,,,1,1,
4-hydroxyphenylpyruvic acid,,,,,,,,,,,,,,,,,,,,,,,,
2-oxooctanoic acid,,,,,,,,1,,1,,,,,,1,1,1,,,1,,,
Imidazolepyruvic acid hydrobromide hydrate,,1,,,,,,1,,,,1,,1,,,,,,,,1,1,1
2-oxoadipic acid,,1,,,,,,,1,,1,,,,,1,1,,1,1,,,1,
Trimethylpyruvic acid,,,,1,1,1,,1,,,,1,,1,,,,,,,,,,
Trifluoropyruvic acid hydrate,,,1,,,,,1,1,,,,,,,,,1,,,,,1,1
Mesitylglyoxylic acid,,1,1,,,,,,,1,1,,,1,,1,,,,,,,,1
3-methyl-2-oxopentanoic acid sodium salt,,,,1,,,,,1,,,,1,,,,,1,1,,,,1,1
Sodium 2-oxobutyrate|A-ketobutyrate,,,1,,,,,,,1,1,1,,,,,,,1,1,,,,
Bromopyruvic acid,1,,1,,,,,,,,,,,,,,,,,,1,1,1,
Phenylpyruvic acid,1,,,,,1,,,1,,,1,,1,,,,1,,,1,1,,
2-oxovaleric acid,1,,,,,1,,,,,1,,,,,,,1,,,1,1,,
4-methyl-2-oxovaleric acid,,,1,,1,,,,,,,,1,,1,1,,,,,,,,1
A-ketoglutarate,,,,1,,,1,,,,,,,,1,,,,,1,1,,,1
Pyruvate,,1,,,,1,1,1,,1,,,,,1,,,,,,,,,1
A-ketosuberic acid,1,,1,,,,,1,,,,,,,,,,,,1,,,,
2-keto-3-deoxy-D-xylonic acid,,1,,,,,,1,1,,,,,,1,,,,,1,1,,1,
Benzoylformic acid,1,,,,,,,1,,1,,,,,1,,,,,,,,1,
3-indoleglyoxylic acid,1,,,,,,,,,,,1,,,1,,1,,,,,,1,1
Oxaloacetic acid,1,,,,,,1,,1,,,1,,1,,,1,,,,,1,,
Beta-hydroxypyruvic acid,1,,,,,,,,,,,,,1,,1,,,1,,,1,1,1
Thiopyruvic acid,1,,,,,,,1,,1,,,,,,1,,,,,,,,1
"2-oxo-2-{1-[3,4,5-tris(acetyloxy)oxan-2-yl]-1H-indol-3-yl}acetic acid",1,,,,,,,,,1,,,,1,,,,,1,,1,1,,1
2-oxo-4-(thiophen-2-yl)butanoic acid,1,,1,,,,1,1,,,,,,,,,,,,,,,1,
2-oxo-3-(quinolin-2-yl)propanoic acid,1,,,,,,,1,,,,,,,,1,,,,,,,,1
[hydroxy(propan-2-yl)carbamoyl]formic acid,1,1,,,,,,1,,,,,,1,1,,,,,1,,,1,1
"3-cyano-3-[4-(ethoxycarbonyl)-1,3-thiazol-2-yl]-2-oxopropanoic acid",1,,,,,,,1,,,,1,,,1,,,,,,,,1,1
{[1-(5-chlorothiophen-2-yl)cyclohexyl]carbamoyl}formic acid,1,1,,,,,,,,,,1,,,1,,,,,,1,1,1,
"2-(carboxyformamido)-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylic acid",,1,,,,,,,,1,,,,1,1,,,,,,1,,1,1
sodium pyruvate 3-13C,,,,,,,,,,,,,,,,,,,,,,,,
A-ketoglutaric acid 13C5,,,,,,,,,,,,,,,,,,,,,,,,
A-ketobutyric acid sodium salt methyl-13C,,,,,,,,,,,,,,,,,,,,,,,,
"A-ketoisocaproic acid, sodium salt 1,2-13C2",,,,,,,,,,,,,,,,,,,,,,,,