Chemical Name,Smiles
Alpha-keto-gamma-(methylthio)butyrate acid sodium salt,CSCCC(=O)C(=O)O
4-hydroxyphenylpyruvic acid,O=C(O)C(=O)Cc1ccc(O)cc1
2-oxooctanoic acid,CCCCCCC(=O)C(=O)O
Imidazolepyruvic acid hydrobromide hydrate,O=C(O)C(=O)Cc1cnc[nH]1
2-oxoadipic acid,O=C(O)CCCC(=O)C(=O)O
Trimethylpyruvic acid,CC(C)(C)C(=O)C(=O)O
Trifluoropyruvic acid hydrate,O=C(O)C(=O)C(F)(F)F
Mesitylglyoxylic acid,Cc1cc(C)c(C(=O)C(=O)O)c(C)c1
3-furyl(oxo)acetic acid,O=C(O)C(=O)c1ccoc1
3-methyl-2-oxopentanoic acid sodium salt,OC(=O)C(=O)C(C)CC
Sodium 2-oxobutyrate|A-ketobutyrate,CCC(=O)C(=O)O
Bromopyruvic acid,O=C(O)C(=O)CBr
Phenylpyruvic acid,O=C(O)C(=O)Cc1ccccc1
2-oxovaleric acid,CCCC(=O)C(=O)O
4-methyl-2-oxovaleric acid,CC(C)CC(=O)C(=O)O
A-ketoglutarate,O=C(O)CCC(=O)C(=O)O
Pyruvate,CC(=O)C(=O)O
A-ketosuberic acid,O=C(O)CCCCCC(=O)C(=O)O
2-keto-3-deoxy-D-xylonic acid,O=C(O)C(=O)CC(O)CO
Benzoylformic acid,O=C(O)C(=O)c1ccccc1
3-indoleglyoxylic acid,O=C(O)C(=O)c1c[nH]c2ccccc12